config,hidden_side,radius,periodic,epoch,mse,output_mse,accuracy,all_correct,min_margin,mean_margin,best_mse,best_epoch,best_min_margin,best_margin_epoch,first_all_correct_epoch,gradient_norm,parameter_norm,update_norm,learning_rate,elapsed_seconds,predictions,scores,margins,per_case_mse
h8_r8_open,8,8,false,50,0.17505097,0.87740475,1.0,true,0.33724737,0.7256892,0.17505097,50,0.33724737,50,25,1.9622054541104061,27.13700748595852,0.05062229698229457,0.0015644479,144.162,0|1|1|0,-0.3372|1.2159|0.7124|-0.6372,0.3372|1.2159|0.7124|0.6372,1.1061|0.5394|1.04|0.824
h8_r8_open,8,8,false,55,0.14589551,0.8495143,1.0,true,0.46635056,0.71765304,0.14589551,55,0.46635056,55,25,1.7511812719109563,27.10098933704958,0.04719524957008252,0.0015257258,158.302,0|1|1|0,-0.4664|1.1357|0.7146|-0.554,0.4664|1.1357|0.7146|0.554,0.8868|0.5698|1.0387|0.9027
h8_r8_open,8,8,false,60,0.12638403,0.8124529,1.0,true,0.3615361,0.79619724,0.12638403,60,0.46635056,55,25,1.8171521695901776,27.06572607250785,0.04276307690353098,0.0014879622,172.484,0|1|1|0,-0.8273|1.1825|0.8135|-0.3615,0.8273|1.1825|0.8135|0.3615,0.6086|0.555|1.0139|1.0723
h8_r8_open,8,8,false,65,0.1870344,0.81324095,1.0,true,0.37320387,0.72665787,0.12638403,60,0.46635056,55,25,2.098954976144635,27.032541515389372,0.044359239260931764,0.0014511333,185.707,0|1|1|0,-0.8052|1.2385|0.3732|-0.4897,0.8052|1.2385|0.3732|0.4897,0.5585|0.5339|1.186|0.9745
h8_r8_open,8,8,false,70,0.07267892,0.794976,1.0,true,0.53626215,0.7737502,0.07267892,70,0.53626215,70,25,1.666381366470625,26.999554665742867,0.042000068435123585,0.001415216,199.201,0|1|1|0,-0.9282|0.8489|0.7817|-0.5363,0.9282|0.8489|0.7817|0.5363,0.5081|0.6938|1.0136|0.9644
h8_r8_open,8,8,false,75,0.12013309,0.7674011,1.0,true,0.49449822,0.8345241,0.07267892,70,0.53626215,70,25,1.8999637700692305,26.96732868502644,0.04385736459929201,0.0013801877,212.903,0|1|1|0,-1.051|1.2132|0.4945|-0.5794,1.051|1.2132|0.4945|0.5794,0.4638|0.5439|1.1118|0.9501
h8_r8_open,8,8,false,80,0.044284396,0.74310285,1.0,true,0.63584864,0.85484815,0.044284396,80,0.63584864,80,25,1.486500072182847,26.93622771973706,0.040563529876388144,0.0013460263,226.979,0|1|1|0,-0.9725|1.0194|0.7917|-0.6358,0.9725|1.0194|0.7917|0.6358,0.4658|0.6037|1.0171|0.8858
h8_r9_open,8,9,false,0,1.3009384,1.7942991,0.5,false,-0.77188134,-0.027197897,1.3009384,0,-0.77188134,0,-1,NaN,27.13144477189072,NaN,0.002,2.609,1|0|1|0,0.7719|-0.0385|0.0836|-0.618,-0.7719|-0.0385|0.0836|0.618,2.5509|1.771|1.682|1.1733
h8_r9_open,8,9,false,5,1.0796417,1.6183447,0.5,false,-0.54889387,0.04296442,1.0796417,5,-0.54889387,5,-1,2.6467500335125496,27.11507842561669,0.15502981351030426,0.0019602992,16.541,1|1|0|0,0.5489|0.2057|-0.0475|-0.5625,-0.5489|0.2057|-0.0475|0.5625,2.3317|1.3371|1.591|1.2136
h8_r9_open,8,9,false,10,1.1513251,1.5142392,0.5,false,-0.6065152,0.031584814,1.0796417,5,-0.54889387,5,-1,1.9316865396780198,27.099749506957508,0.11619265997629147,0.0019117794,30.703,1|0|1|0,0.6065|-0.1948|0.3593|-0.5684,-0.6065|-0.1948|0.3593|0.5684,2.24|1.6446|1.1079|1.0645
h8_r9_open,8,9,false,15,1.0424553,1.3941196,0.5,false,-0.4634093,0.10544048,1.0424553,15,-0.4634093,15,-1,2.1397776910697304,27.075660095903594,0.09768135225014983,0.0018644604,44.694,1|0|1|0,0.4634|-0.3029|0.5711|-0.617,-0.4634|-0.3029|0.5711|0.617,2.0687|1.6632|0.8841|0.9605
h8_r9_open,8,9,false,20,0.9609532,1.3344628,0.5,false,-0.43303356,0.1560024,0.9609532,20,-0.43303356,20,-1,1.9251871488680012,27.054750667699864,0.07322289212693313,0.0018183127,58.69,1|0|1|0,0.433|-0.2345|0.5582|-0.7333,-0.433|-0.2345|0.5582|0.7333,2.0575|1.5978|0.891|0.7916
h8_r9_open,8,9,false,25,1.1405344,1.336186,0.5,false,-0.7328545,0.12791061,0.9609532,20,-0.43303356,20,-1,1.7492302155214763,27.036112053704557,0.06858210042750218,0.0017733073,72.976,1|0|1|0,0.7329|-0.1529|0.5429|-0.8546,-0.7329|-0.1529|0.5429|0.8546,2.2976|1.5384|0.876|0.6328
h8_r9_open,8,9,false,30,0.98931116,1.3093377,0.75,false,-0.6340251,0.18106237,0.9609532,20,-0.43303356,20,-1,2.526487603431002,27.01646768856335,0.054677515310511904,0.0017294157,87.461,1|1|1|0,0.634|0.0215|0.4341|-0.9027,-0.634|0.0215|0.4341|0.9027,2.273|1.3974|0.9574|0.6096
h8_r9_open,8,9,false,35,0.82225245,1.2462969,0.75,false,-0.43858394,0.23554248,0.82225245,35,-0.43303356,20,-1,2.0953438229534456,26.990975461210294,0.052117083710653045,0.0016866106,101.144,1|1|1|0,0.4386|0.0691|0.4151|-0.8966,-0.4386|0.0691|0.4151|0.8966,2.065|1.346|0.9584|0.6158
h8_r9_open,8,9,false,40,0.7925182,1.1946764,0.75,false,-0.44133925,0.27960545,0.7925182,40,-0.43303356,20,-1,1.7991394370019336,26.961637016425186,0.04734092115773171,0.001644865,114.862,1|1|1|0,0.4413|0.0921|0.4823|-0.9854,-0.4413|0.0921|0.4823|0.9854,2.0482|1.2956|0.8962|0.5387
h8_r9_open,8,9,false,45,0.79440707,1.1479976,0.5,false,-0.3967563,0.33827347,0.7925182,40,-0.3967563,45,-1,1.6154351069345982,26.934394533508986,0.04593982251128548,0.0016041525,128.713,1|0|1|0,0.3968|-0.0215|0.6053|-1.166,-0.3968|-0.0215|0.6053|1.166,2.0075|1.3745|0.7937|0.4162
h8_r9_open,8,9,false,50,0.71600646,1.1531426,0.75,false,-0.33239514,0.32743126,0.71600646,50,-0.33239514,50,-1,1.5960485301658378,26.906052645182132,0.04114060575564101,0.0015644479,142.878,1|1|1|0,0.3324|0.0131|0.6629|-0.9661,-0.3324|0.0131|0.6629|0.9661,1.9344|1.368|0.7592|0.5509
h8_r9_open,8,9,false,55,0.67224085,1.1260012,0.75,false,-0.30789876,0.3625863,0.67224085,55,-0.30789876,55,-1,1.617419313779678,26.87991529360549,0.041952831377834676,0.0015257258,157.182,1|1|1|0,0.3079|0.0792|0.6409|-1.0382,-0.3079|0.0792|0.6409|1.0382,1.9123|1.3142|0.7713|0.5062
h8_r9_open,8,9,false,60,0.6177462,1.1091814,0.75,false,-0.26245064,0.37165135,0.6177462,60,-0.26245064,60,-1,1.541611704834676,26.85195119008754,0.039017402425208944,0.0014879622,171.728,1|1|1|0,0.2625|0.1546|0.5968|-0.9976,-0.2625|0.1546|0.5968|0.9976,1.8603|1.238|0.7976|0.5408
h8_r9_open,8,9,false,65,0.5089218,1.0786717,0.75,false,-0.1739293,0.4070489,0.5089218,65,-0.1739293,65,-1,1.8784734977048758,26.823588179296596,0.04727499638412554,0.0014511333,185.666,1|1|1|0,0.1739|0.3085|0.5869|-0.9068,-0.1739|0.3085|0.5869|0.9068,1.7819|1.1125|0.8146|0.6057
h8_r9_open,8,9,false,70,0.52282524,1.0405463,0.75,false,-0.29682484,0.48196316,0.5089218,65,-0.1739293,65,-1,2.375797740072458,26.797823643922676,0.049209542681052904,0.001415216,199.398,1|1|1|0,0.2968|0.4911|0.6269|-1.1067,-0.2968|0.4911|0.6269|1.1067,1.8482|1.0043|0.8341|0.4756
h8_r9_open,8,9,false,75,0.46012014,1.0054462,0.75,false,-0.23547904,0.5184072,0.46012014,75,-0.1739293,65,-1,2.1676601430830074,26.77231700857833,0.04487576398624189,0.0013801877,213.156,1|1|1|0,0.2355|0.5815|0.6382|-1.0894,-0.2355|0.5815|0.6382|1.0894,1.7886|0.9362|0.8021|0.495
h8_r9_open,8,9,false,80,0.33636203,1.0014786,0.75,false,-0.03564602,0.5295124,0.33636203,80,-0.03564602,80,-1,1.695587065652378,26.74764063047197,0.03946286750411404,0.0013460263,227.324,1|1|1|0,0.0356|0.6327|0.6526|-0.8683,-0.0356|0.6327|0.6526|0.8683,1.6527|0.9227|0.7883|0.6422
